Q6,Q45,Q11,Q2,Q5,Q7,Q8,Q9,Q10,Q50,Q16,Q17,Q18,Q19_1,Q20,Q21,Q24,Q25,Q27,Q33,Q36,Q38,Q39,Q42,Q43,Q46,Q47
Which city or town in North Carolina do you currently live in?,What do you see as the biggest challenge to eating healthy in North Carolina?,"Eligibility:

- You must be 18 years or older

- You must currently reside in North Carolina

- You must be responsible for at least some grocery shopping in your household


By clicking ""Next,"" you consent to participate in this study.",What is your age?,What is your gender?,How many people currently live in your household (including yourself)?,How many children under 18 live in your household?,What is your approximate annual household income (before taxes)?,What is your race/ethnicity? (Select all that apply) - Selected Choice,What is the highest level of education you have completed?,Where do you typically shop for groceries? (Select all that apply) - Selected Choice,Which ONE store do you shop at most frequently?,"On average, how many times per month do you visit a grocery store?",What is your average monthly grocery budget for your entire household? - Monthly Grocery Budget,How far do you typically travel to reach your primary grocery store?,How do you usually get to the grocery store? - Selected Choice,"On average, how many days per week do you cook meals at home?","On average, how many times per week do you or members of your household eat meals prepared outside the home (restaurants, takeout, delivery, etc.)?",How confident do you feel in your ability to prepare healthy meals at home?,Have you ever followed or tried to follow a specific diet or eating pattern?,Have you heard of the Mediterranean Diet?,What do you know about the Mediterranean Diet? (Select all that apply),"The Mediterranean Diet emphasizes the following: cooking meals, choosing produce based on what is in season, exercising regularly, fresh fruits and vegetables, whole grains, beans, nuts, olive oil, fish, and limited red meat. Based on this description, how interested would you be in trying to eat this way?",How would you rate the overall quality of your current diet?,"In the past year, has your household experienced any of the following? (Select all that apply)","If you could change one thing to make healthy eating easier or more affordable for you and your family, what would it be?","Is there anything else you'd like to share about your grocery shopping experiences, food choices, or access to healthy foods?"
"{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID52""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID29""}","{""ImportId"":""QID35""}","{""ImportId"":""QID38""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49_TEXT""}"
"",,,,,,,,,,,,,,,,,,,,,,,,,,
Winston Salem,Eating out--why is there so much red meat that comes with food? Especially at breakfast places. Everything has bacon!,"I am 18 years or older, live in North Carolina, and agree to participate",35-44,Female,4,2,"$100,000 - $149,999",White/Caucasian,Graduate or professional degree,"Harris Teeter,Trader Joe's,Other:",Other (store written in last question),5-8 times,851,1-5 miles,Drive my own vehicle,6-7 days,2-3 times,Very confident,No,"Yes, I'm very familiar with it","Emphasizes fruits and vegetables,Includes lots of fish and seafood,Uses olive oil as main fat source,Limits red meat,Includes whole grains,Focuses on plant-based foods,Associated with heart health benefits,Based on traditional eating patterns from Mediterranean countries",Very interested,Very good,,"I would love to have 30 more minutes in the day to do food prep, kitchen clean up.",Not today
Summerfield,,"I am 18 years or older, live in North Carolina, and agree to participate",18-24,Female,5 or more,2,"$150,000 or more",White/Caucasian,Some college (no degree),"Harris Teeter,Target,Trader Joe's",Harris Teeter,3-4 times,651,6-10 miles,Drive my own vehicle,4-5 days,0-1 times,Somewhat confident,No,"Yes, I'm very familiar with it","Emphasizes fruits and vegetables,Includes lots of fish and seafood,Associated with heart health benefits,Based on traditional eating patterns from Mediterranean countries",Very interested,Good,,,
High Point,,"I am 18 years or older, live in North Carolina, and agree to participate",18-24,Male,1 (just me),2,"$75,000 - $99,999",White/Caucasian,High school diploma or GED,"Walmart,Food Lion,Aldi,Trader Joe's",Walmart,3-4 times,601,1-5 miles,Drive my own vehicle,2-3 days,4-5 times,Somewhat confident,No,,,,,,,
Durham,"Good produce for a low price ","I am 18 years or older, live in North Carolina, and agree to participate",35-44,Female,1 (just me),None,"$50,000 - $74,999","White/Caucasian,Hispanic or Latino",Graduate or professional degree,"Walmart,Harris Teeter,Aldi,Target",Walmart,3-4 times,357,1-5 miles,Drive my own vehicle,4-5 days,2-3 times,Very confident,Yes,"Yes, I'm very familiar with it","Emphasizes fruits and vegetables,Includes lots of fish and seafood,Uses olive oil as main fat source,Limits red meat,Includes whole grains,Focuses on plant-based foods,Associated with heart health benefits,Based on traditional eating patterns from Mediterranean countries",Very interested,Fair,Couldn't afford to eat balanced meals,"Finding faster/low-prep recipes ","I use pick-up orders frequently "
Greensboro,Trying to come up with meal plans,"I am 18 years or older, live in North Carolina, and agree to participate",18-24,Female,4,1,"$100,000 - $149,999",Hispanic or Latino,Bachelor's degree,"Harris Teeter,Aldi,Lidl,Whole Foods,Trader Joe's",Harris Teeter,5-8 times,798,1-5 miles,Drive my own vehicle,6-7 days,2-3 times,Somewhat confident,Yes,"Yes, I've heard of it but don't know much about it",,Somewhat interested,Very good,,"Meal plans and shopping lists based on sales. ",N/A
Winston-Salem,"Cost and access to healthy foods in many communities ","I am 18 years or older, live in North Carolina, and agree to participate",65-74,Female,2,None,"$100,000 - $149,999",White/Caucasian,Graduate or professional degree,"Harris Teeter,Whole Foods,Trader Joe's,Farmers market,Other:",Harris Teeter,5-8 times,593,1-5 miles,Walk or bike,4-5 days,4-5 times,Very confident,Yes,"Yes, I'm very familiar with it","Emphasizes fruits and vegetables,Includes lots of fish and seafood,Uses olive oil as main fat source,Associated with heart health benefits,Based on traditional eating patterns from Mediterranean countries",Very interested,Very good,,I would go to Farmer’s Market more often,No
"Winston salem ","Access to healthy food ","I am 18 years or older, live in North Carolina, and agree to participate",35-44,Female,2,None,"$150,000 or more",White/Caucasian,Some college (no degree),"Harris Teeter,Lidl,Trader Joe's,Other:",Other (store written in last question),1-2 times,502,6-10 miles,Drive my own vehicle,4-5 days,2-3 times,Neutral,Yes,"Yes, I'm very familiar with it","Emphasizes fruits and vegetables,Includes lots of fish and seafood,Uses olive oil as main fat source,Limits red meat,Includes whole grains,Associated with heart health benefits,Based on traditional eating patterns from Mediterranean countries",Neutral,Good,,,
